YEAR	JF_Reg1	JF_Reg2	JF_Reg3	JF_Reg4	JF_Reg5	JF_Reg6	JF_Reg7	JF_Reg8	AM_Reg1	AM_Reg2	AM_Reg3	AM_Reg4	AM_Reg5	AM_Reg6	AM_Reg7	AM_Reg8	AM_Reg9	JA_Reg1	JA_Reg2	JA_Reg3	JA_Reg4	JA_Reg5	JA_Reg6	JA_Reg7	ON_Reg1	ON_Reg2	ON_Reg3	ON_Reg4	ON_Reg5	ON_Reg6	ON_Reg7	ON_Reg8	ON_Reg9
2000	26.08333333	28.38095238	28.32352941	32.71428571	37.44444444	35.4	41.56521739	33.42105263	46.5	41.36363636	36.47368421	39.6	44.8125	44.42857143	41.2	37.60606061	34.1	52.72222222	49.05882353	48.39655172	51.5862069	46.16666667	47.18181818	46.07692308	26.11111111	29.625	36	40.13043478	43.32352941	39.8	42.82352941	46.29411765	48.84615385
2001	27.16666667	28.76190476	30.11764706	35.5	37.4	37.6	37.69565217	30	39.65384615	36.77272727	32.68421053	40.86666667	40.75	40.28571429	44.75	37.36363636	28.3	40.55555556	43.35294118	52.84482759	48.89655172	49.41666667	50.59090909	47.61538462	39.55555556	31.25	37.6	36.13043478	42.38235294	45.84	49	52.82352941	53.23076923
2002	24.75	27.95238095	29.08823529	32.5	37.31111111	36.06666667	42.52173913	36.68421053	35.5	49.5	36.89473684	40.26666667	54.1875	41.92857143	44.65	40.36363636	33.2	40.05555556	44.17647059	46.39655172	50.89655172	49.08333333	52.04545455	45.76923077	36.55555556	40.375	38.64	36.30434783	40.47058824	49.32	39.58823529	44.11764706	43.84615385
2003	28.33333333	27.38095238	27.94117647	31.5	33.06666667	32.73333333	41.65217391	29.84210526	33.11538462	44.90909091	43.05263158	43.63333333	39.8125	34.71428571	42.75	41.63636364	40.9	45.22222222	43.94117647	50.75862069	58.13793103	49.95833333	47.18181818	52.30769231	34.22222222	38	38.96	38.39130435	45.32352941	43.2	43.11764706	48.70588235	48.76923077
2004	26.08333333	28.38095238	27.52941176	32	32.77777778	34	38.86956522	40.68421053	38.76923077	52.95454545	40.31578947	42.96666667	47.0625	38.07142857	44.05	35.72727273	30.8	42.88888889	44.23529412	44.65517241	56.34482759	49.33333333	49.86363636	47	33.44444444	34.5625	42.56	35.39130435	45.82352941	45.12	42.41176471	51.88235294	54.38461538
2005	27.91666667	26.85714286	27.82352941	32.07142857	29.46666667	35.46666667	35.82608696	27.31578947	46.11538462	42.90909091	34.15789474	39.73333333	36.4375	33.64285714	36.3	42.27272727	41.4	40.72222222	43	45.10344828	51.65517241	48.79166667	52.36363636	50.46153846	48.33333333	43.875	37.88	36.2173913	42.61764706	47.6	39.88235294	45.94117647	39.15384615
2006	28	28.52380952	28.64705882	33.35714286	38.17777778	38.73333333	39.08695652	24.63157895	35.23076923	44.63636364	34.21052632	42.93333333	35.25	41.78571429	38.15	48.21212121	40.1	54.22222222	46.17647059	47.75862069	50.82758621	48.79166667	50.09090909	69.38461538	34.44444444	32.1875	38.16	38.7826087	39.73529412	45.56	43.52941176	46.94117647	45.53846154
2007	27	28.57142857	28.11764706	31.78571429	34.84444444	34.4	41.69565217	46.78947368	44.69230769	47.40909091	35.05263158	39.36666667	43.375	41.35714286	42.15	40.3030303	39	48.55555556	42.58823529	45.96551724	48.93103448	47.75	50.72727273	51.92307692	31.44444444	50.9375	34.32	37.52173913	42.73529412	47.2	42.70588235	49.70588235	55
2008	25.58333333	28.76190476	29.52941176	32.64285714	39.11111111	34.8	45.47826087	33.94736842	33.19230769	41.09090909	34	39.23333333	42.3125	31.14285714	41.65	39.33333333	32.6	50.5	45.35294118	48.27586207	49.03448276	51.29166667	48.86363636	47.84615385	44.11111111	40.9375	36.88	34.43478261	41.85294118	49.08	38.41176471	47.11764706	50.30769231
2009	29.66666667	28.85714286	29.44117647	32.35714286	39.82222222	35.53333333	41.91304348	35.42105263	37.11538462	48.63636364	34.94736842	38.63333333	37.3125	36.64285714	43.3	43.81818182	38.9	39.77777778	42	42.43103448	51.27586207	45.66666667	47.45454545	50.69230769	24.88888889	38.625	36.2	35.60869565	43.41176471	47.68	39.47058824	44.94117647	49.30769231
2010	33.5	25.66666667	29.23529412	31.85714286	32.57777778	29.26666667	35.26086957	33	33.15384615	42.22727273	36.10526316	41.8	39.6875	33.07142857	40.25	31.3030303	31	63.88888889	41.05882353	52.27586207	52.4137931	46.58333333	49.59090909	50.84615385	30.55555556	48.5625	40.6	36.13043478	41.73529412	45.6	39.35294118	44.35294118	48.53846154
2011	31	26.80952381	27.61764706	30	37.04444444	39.46666667	40.7826087	28	36.38461538	39.09090909	34	39.9	42.3125	34	48	53.84848485	56.1	55.22222222	42.70588235	50.0862069	50.72413793	46.95833333	48.95454545	48.30769231	33.44444444	31.125	43.72	38.56521739	45.82352941	46.96	44.41176471	46.41176471	44.53846154
2012	28.58333333	28.28571429	28.91176471	33	38.82222222	35.4	42.60869565	30.94736842	39.92307692	44.77272727	33.73684211	40.76666667	41.5	40.92857143	44.6	35.6969697	34.1	42.33333333	44.05882353	52.72413793	52.62068966	48.95833333	47	48.30769231	41.33333333	40.75	30.2	35.34782609	38.73529412	45.24	37.76470588	47.52941176	42.69230769
