YEAR	JF_Reg1	JF_Reg2	JF_Reg3	JF_Reg4	JF_Reg5	JF_Reg6	JF_Reg7	JF_Reg8	AM_Reg1	AM_Reg2	AM_Reg3	AM_Reg4	AM_Reg5	AM_Reg6	AM_Reg7	AM_Reg8	AM_Reg9	JA_Reg1	JA_Reg2	JA_Reg3	JA_Reg4	JA_Reg5	JA_Reg6	JA_Reg7	ON_Reg1	ON_Reg2	ON_Reg3	ON_Reg4	ON_Reg5	ON_Reg6	ON_Reg7	ON_Reg8	ON_Reg9
1940	27.5	26.19047619	27.67647059	31.64285714	33.66666667	31	35.60869565	32.47368421	39.46153846	40.27272727	34.84210526	38.6	40.5	40	38.95	36.48484848	33.8	57.11111111	48.52941176	45.22413793	52	51.875	53.54545455	53.53846154	39.33333333	50.1875	45.56	36.47826087	41.70588235	46.32	43.17647059	45.23529412	47.46153846
1941	28.08333333	27.76190476	29.73529412	34.07142857	31.4	31.46666667	37.95652174	33.89473684	49.96153846	47.22727273	37.26315789	41.56666667	38.875	38.71428571	47.7	37.27272727	29.9	41.33333333	43.47058824	42.96551724	62.06896552	48.625	50.31818182	51.07692308	28.11111111	36.625	42.04	36.39130435	42.17647059	49.08	40.17647059	45.94117647	49.69230769
1942	30.16666667	27.71428571	29.79411765	35.07142857	33.91111111	34.2	42.30434783	40.78947368	38.73076923	44	37.94736842	44	39.25	40.35714286	43.75	40.54545455	37.4	44.11111111	47.88235294	47.18965517	55.62068966	51.125	52.18181818	52.53846154	38	34.125	40.6	36.65217391	40.20588235	45.12	38.64705882	49.70588235	58.30769231
1943	27.75	28.47619048	30.61764706	35.07142857	46.11111111	38.33333333	45.30434783	42.10526316	37	41.5	36.26315789	40.4	46.3125	46.07142857	42.5	52.24242424	55.8	45.88888889	45.82352941	50.84482759	53.96551724	50.125	51.36363636	53	49.11111111	48.4375	29.96	36.47826087	43.70588235	51.24	34.58823529	49.64705882	53
1944	28.75	27.61904762	30.64705882	34.64285714	35.91111111	38.8	35.86956522	38.05263158	38.34615385	44.04545455	35.15789474	41.86666667	46.4375	49.35714286	44.8	31.87878788	26.6	40.88888889	45.82352941	50.75862069	57.79310345	46.95833333	48.59090909	51.76923077	30.88888889	46.875	30.56	37	43.44117647	49.2	43.76470588	48.82352941	54.23076923
1945	27.25	28.0952381	30	33.28571429	36.28888889	34.4	35.95652174	33.63157895	42.26923077	48.90909091	37.47368421	40.13333333	43.25	35.78571429	42.25	35.96969697	45.8	39.88888889	45.52941176	45.0862069	54.51724138	46.875	50.63636364	43.53846154	46.66666667	34.5625	45.64	34.52173913	45.05882353	47	42.41176471	45	49.07692308
1946	27.16666667	29	30.38235294	34.92857143	38.24444444	35.4	39.34782609	37.21052632	37.88461538	43.04545455	37.89473684	42.16666667	36.8125	43.14285714	42.2	42.66666667	31.1	43.33333333	41.70588235	50.56896552	57	47.70833333	51.18181818	51.15384615	47.55555556	49.5625	41.24	40.26086957	44.55882353	41.44	45.82352941	46	44.15384615
1947	29.91666667	27.80952381	29.91176471	31.92857143	38.26666667	34.53333333	40.60869565	33.05263158	37.5	46.04545455	34.47368421	41.46666667	43.1875	39.64285714	45.4	45.03030303	41.8	42.5	45.52941176	47	59.48275862	54.04166667	52.36363636	60	40.33333333	29.5	36.24	35.65217391	42.52941176	44.08	44.47058824	41	53.76923077
1948	25.33333333	27.14285714	28.70588235	33.07142857	39.66666667	37	39.60869565	31.63157895	42.19230769	42.72727273	36.57894737	46.36666667	40.4375	47.85714286	44.05	39.75757576	29.3	45.72222222	43.94117647	47.70689655	48.62068966	53.33333333	49.40909091	47.53846154	40.88888889	38.625	38.92	37.95652174	44.41176471	49.92	40.52941176	44.88235294	49.46153846
1949	26.58333333	28.85714286	29.67647059	35.71428571	40.8	38	47.7826087	52.05263158	42.26923077	43.5	35.78947368	40.16666667	41.4375	37.85714286	42.15	45.60606061	43.4	42.72222222	44.94117647	49.43103448	47.06896552	49.66666667	51.40909091	53.46153846	42.44444444	34.6875	32.12	37	43.32352941	48.88	42.70588235	49.82352941	49.84615385
1950	28	28.52380952	28.79411765	35.21428571	42.57777778	40.8	45.56521739	34.26315789	39.92307692	44.04545455	37.05263158	43.83333333	43.9375	32.21428571	42.7	36.42424242	28.3	43.66666667	45.41176471	47.18965517	51.93103448	49.16666667	47.40909091	48.53846154	26.88888889	32.5625	32.88	37.43478261	41.05882353	46.2	43.11764706	50.47058824	51.61538462
1951	28.25	29.19047619	30.26470588	33.35714286	40.71111111	38.66666667	48.95652174	37.36842105	38.57692308	43.81818182	37.26315789	41.03333333	41.25	37.85714286	42.8	47.03030303	44.5	51.88888889	42.41176471	43.17241379	58.24137931	47.45833333	50	52.07692308	29.22222222	32.625	36.64	35.34782609	42.32352941	42.16	44.58823529	48.82352941	49.15384615
1952	28	27.71428571	29.73529412	34.64285714	36.06666667	34.86666667	43.65217391	39.78947368	36.23076923	46.77272727	37.73684211	43.3	32.8125	37.21428571	40.7	35.51515152	30.1	47.22222222	44.58823529	43.43103448	54.44827586	51.75	54.09090909	45.15384615	39.44444444	41	45.08	40.65217391	43.64705882	46.6	39.35294118	43.11764706	46.23076923
1953	27.91666667	27.04761905	28.70588235	33.14285714	39.02222222	34.6	40.91304348	26.15789474	31.30769231	42.27272727	36.84210526	39.3	39.25	32.71428571	40.95	37.36363636	41.3	41.38888889	42.35294118	45.32758621	57.34482759	47.875	49.09090909	51.76923077	47.55555556	42.5625	39.24	35.30434783	42.02941176	49.84	46.41176471	47.35294118	54.46153846
1954	30.16666667	30.42857143	28.23529412	32.78571429	40.11111111	34.4	45.56521739	25.94736842	35.19230769	45	38.57894737	40.76666667	47.5625	44.5	42.65	33.15151515	31.8	39.83333333	38.70588235	46.75862069	47.27586207	45.83333333	49.63636364	48.69230769	39.33333333	37.75	32.16	35.47826087	40.85294118	53.44	40.82352941	48	46.53846154
1955	27.91666667	26.38095238	28.64705882	38	41.68888889	35.93333333	35.7826087	30.26315789	35.76923077	39.09090909	37.84210526	44.03333333	41.375	33	43.65	43.60606061	42.8	43.77777778	43.47058824	51.31034483	55.34482759	54.45833333	54	51.23076923	32.55555556	46.8125	46.56	37.86956522	43.91176471	47.04	38.76470588	44.47058824	61.92307692
1956	27.83333333	28	27.94117647	31.21428571	38.51111111	35.53333333	40.34782609	31.15789474	42.26923077	46.72727273	37.63157895	43.03333333	49.875	35.85714286	40.15	49.42424242	45.5	50.44444444	50.05882353	46.51724138	64.51724138	47.54166667	47.54545455	49.69230769	33.77777778	41.75	41.44	38.08695652	43.88235294	51.8	44.23529412	52.76470588	57.69230769
