Month,Day,Year,Latitude,Longitude,Number
9,24,2001,35.4,-97.5,
9,24,2001,33.3,-98.7,
9,24,2001,37,-80.4,
9,24,2001,31.6,-100.5,
9,24,2001,40.6,-74.3,
9,23,2001,35.7,-99.5,
9,23,2001,35.7,-95.3,
9,23,2001,35.2,-97.5,
9,23,2001,37.6,-79.1,
9,23,2001,43.7,-79.4,
9,23,2001,33.4,-86.8,
9,22,2001,38.4,-93.8,
9,22,2001,37.7,-100.1,
9,22,2001,42.3,-88,
9,22,2001,39.1,-92.2,
9,22,2001,35.3,-82.5,
9,22,2001,41.9,-73.9,
9,22,2001,38.5,-92.2,
9,22,2001,39.1,-94.6,
9,22,2001,40.8,-74.5,
9,22,2001,35.6,-82.2,
9,22,2001,37.8,-98,
9,22,2001,38.4,-95.3,
9,22,2001,37.6,-79.1,
9,21,2001,40.8,-96.7,
9,21,2001,38.2,-93.4,
9,21,2001,35.4,-83.3,
9,20,2001,38,-92.8,
9,20,2001,39.1,-94.6,
9,20,2001,40.5,-89.6,
9,20,2001,39,-94.7,
9,20,2001,41.9,-79.3,
9,19,2001,38.6,-96.2,
9,19,2001,37.8,-79,
9,19,2001,39,-94.7,
9,19,2001,39,-94.7,
9,19,2001,40.6,-74.3,
9,18,2001,42,-70.9,
9,18,2001,40.8,-96.7,
9,18,2001,39.2,-96.6,
9,17,2001,36.4,-81,
9,17,2001,40.8,-96.7,
9,17,2001,41.4,-72,
9,17,2001,43.1,-75.7,
9,16,2001,44.3,-73.3,
9,16,2001,39.1,-94.6,
9,15,2001,41.6,-93.5,
9,15,2001,40.3,-94,
9,15,2001,40.3,-94,
9,15,2001,37.3,-86.1,
9,14,2001,41.6,-93.5,
9,14,2001,38.1,-78.4,
9,14,2001,39.1,-94.6,
9,14,2001,40,-75.5,
9,14,2001,39.9,-75,
9,13,2001,41.6,-93.5,
9,13,2001,42.2,-88.6,
9,13,2001,39.3,-74.5,
9,12,2001,44.5,-73.2,
9,12,2001,41.9,-90.3,
9,12,2001,37.3,-86.1,
9,12,2001,40.6,-98.4,
9,12,2001,40.3,-79.9,
9,12,2001,39.3,-74.5,
9,12,2001,42.8,-80.2,
9,12,2001,43.7,-79.4,
9,12,2001,39,-77.5,
9,12,2001,40.8,-97.5,
9,11,2001,41.5,-90.3,
9,11,2001,44.1,-77.8,
9,11,2001,41.8,-96.2,
9,10,2001,42.5,-88.1,
9,10,2001,42.1,-91.1,
9,10,2001,41.5,-91.7,
9,10,2001,41.5,-91.7,
9,10,2001,42.9,-90.5,
9,10,2001,43,-90.5,
9,10,2001,41.3,-95.9,
9,10,2001,41.6,-93.3,
9,10,2001,42.8,-86,
9,9,2001,43.4,-95.3,
9,9,2001,42.4,-96.4,
9,8,2001,41.6,-93.5,
9,8,2001,39.8,-84,
9,8,2001,42.6,-96.3,
9,8,2001,40.5,-75.3,
9,8,2001,40.6,-93.2,
9,8,2001,40.1,-88.2,
9,8,2001,42,-92.4,
9,6,2001,42.1,-94.9,
9,6,2001,41.5,-92.3,
9,5,2001,42.4,-92.5,
9,4,2001,42,-93.2,
9,4,2001,41.3,-91.7,
9,3,2001,41.7,-94.1,
9,3,2001,41.6,-93.5,
9,3,2001,42.5,-96.4,
9,3,2001,42.3,-96.2,
9,2,2001,41.6,-93.3,
9,2,2001,42.8,-92.3,
9,1,2001,46.9,-98.7,
8,30,2001,43.4,-92.2,
8,29,2001,42.7,-80.8,
8,28,2001,47.4,-97.4,
8,28,2001,41.9,-93.6,
8,28,2001,43,-93.7,
8,27,2001,43.8,-81.6,
8,26,2001,44.7,-92.5,
8,26,2001,43.5,-96.7,
8,26,2001,44,-91.6,
8,25,2001,48.3,-99.2,
8,25,2001,43.1,-92.3,
8,20,2001,41.6,-83.5,
8,18,2001,45.1,-93.4,
8,18,2001,44.2,-92.7,
8,17,2001,45.9,-84.7,
8,16,2001,45.2,-93.6,
8,16,2001,46.3,-84.2,
8,15,2001,45,-92.5,
8,14,2001,44.5,-93.2,
8,9,2001,46.8,-92.1,
8,9,2001,48.3,-95.6,
8,7,2001,50.2,-97.5,
8,1,2001,49.9,-97.1,
10,30,2002,28.5,-96.7,
10,28,2002,26.8,-101.5,
10,28,2002,25.7,-100.3,
10,26,2002,25.4,-101,
10,26,2002,25,-100,
10,20,2002,26.4,-99.1,
10,20,2002,26.6,-98.7,
10,19,2002,30.4,-91.2,
10,17,2002,30.2,-97.7,
10,16,2002,28.8,-99.8,
10,15,2002,29.5,-98.5,
10,14,2002,29.7,-100,
10,13,2002,30,-99.6,
10,12,2002,30.2,-87.8,
10,12,2002,33.5,-93.9,
10,10,2002,30.1,-85.5,
10,9,2002,41.3,-91.7,
10,7,2002,34.7,-83.5,
10,6,2002,34.3,-85.1,
10,4,2002,35.6,-82.2,
10,3,2002,40.8,-77,
10,2,2002,43.5,-72.3,
9,30,2002,43.5,-79,
9,29,2002,42,-82.4,
9,29,2002,43.7,-73.5,
9,26,2002,40.5,-86.2,
9,23,2002,36.4,-97.8,
9,23,2002,41.7,-81.3,
9,23,2002,43.1,-79.2,
9,22,2002,42.4,-81.1,
9,21,2002,39,-94.3,
9,21,2002,39.1,-94.6,
9,21,2002,39.1,-94.6,
9,17,2002,43.4,-92.2,
9,17,2002,39.1,-94.6,
9,14,2002,41.4,-92.9,
9,11,2002,40.8,-95.6,
9,11,2002,44.3,-87.6,
9,10,2002,41.1,-94.4,
9,10,2002,41.4,-92.9,
9,10,2002,45.7,-87,
9,8,2002,45,-92.5,
9,8,2002,40.1,-88.2,
8,28,2002,44.5,-92.9,
8,28,2002,47.4,-97.4,
8,27,2002,46.1,-96.4,
8,19,2002,44.9,-87.9,
11,13,2003,35.9,-79,
11,3,2003,30.4,-90,
11,1,2003,20.6,-100.4,
10,31,2003,20.6,-100.4,
10,29,2003,35.9,-79,
10,29,2003,25.5,-100.2,
10,26,2003,30.4,-90,
10,24,2003,31.7,-89.1,
10,23,2003,32.8,-89.1,
10,20,2003,29.3,-94.8,
10,20,2003,30.3,-89.9,
10,20,2003,25.5,-100.4,
10,20,2003,32.3,-95.3,
10,19,2003,34.8,-114.2,
10,18,2003,31.7,-89.1,
10,18,2003,26.8,-101.5,
10,17,2003,29,-101,
10,17,2003,30.1,-95.2,
10,17,2003,30.4,-90,
10,16,2003,32.9,-96.6,
10,16,2003,31.7,-89.1,
10,16,2003,25.4,-101,
10,16,2003,32.3,-95.3,
10,15,2003,29.9,-100.9,
10,15,2003,27.8,-101.1,
10,12,2003,30.4,-90.1,
10,11,2003,30.7,-97.9,
10,10,2003,34.7,-83.5,
10,10,2003,32.6,-97.1,
10,10,2003,44.4,-73.2,
10,8,2003,35.7,-91.5,
10,7,2003,35.6,-82.6,
10,7,2003,32.4,-97.1,
10,7,2003,33.2,-96.8,
10,6,2003,34.1,-94.8,
10,6,2003,42.6,-70.7,
10,6,2003,33.5,-93.9,
10,5,2003,43.9,-69.6,
10,5,2003,33.2,-96.6,
10,4,2003,35.9,-86.4,
10,4,2003,35.1,-85,
10,3,2003,32.9,-96.6,
10,3,2003,33.5,-96.9,
10,2,2003,32.8,-96.8,
10,2,2003,32.8,-96.8,
10,2,2003,32.8,-96.8,
10,2,2003,32.4,-97.1,
10,2,2003,32.9,-96.6,
10,2,2003,33.1,-98.6,
10,2,2003,32.4,-97.1,
10,2,2003,32.4,-97.1,
10,1,2003,40.9,-83.4,
10,1,2003,41.5,-81.7,
10,1,2003,41.4,-81.9,
10,1,2003,41.4,-81.9,
9,29,2003,39.6,-74.2,
9,29,2003,40.6,-75.4,
9,29,2003,35.3,-93.1,
9,28,2003,36.6,-93.2,
9,28,2003,37.5,-85.7,
9,27,2003,38.6,-90.2,
9,27,2003,44.4,-73.2,
9,27,2003,35.9,-95,
9,25,2003,43.9,-78.6,
9,24,2003,41.8,-73.9,
9,24,2003,40.8,-77,
9,24,2003,40.4,-95.3,
9,23,2003,37.3,-86.1,
9,21,2003,39.1,-94.6,
9,21,2003,37.2,-96.9,
9,20,2003,39.1,-94.6,
9,20,2003,43.9,-78.6,
9,19,2003,42.3,-89.3,
9,17,2003,41.9,-87.6,
9,17,2003,43.4,-79.3,
9,16,2003,41.9,-87.6,
9,16,2003,42.6,-87.8,
9,15,2003,40.8,-88.2,
9,14,2003,39.1,-94.6,
9,14,2003,39.1,-94.6,
9,14,2003,41.4,-92.9,
9,14,2003,41.6,-93.3,
9,13,2003,39.2,-96.6,
9,13,2003,41.8,-88.2,
9,12,2003,40.4,-95.3,
9,10,2003,42.3,-83.1,
9,9,2003,39.5,-94.5,
9,8,2003,42.1,-83.1,
9,8,2003,42.4,-80.5,
9,7,2003,41.5,-91.7,
9,7,2003,43.5,-78.5,
9,6,2003,41.6,-93.3,
9,6,2003,43.4,-79.3,
9,6,2003,40.7,-73.5,
9,4,2003,44.2,-76.3,
9,4,2003,42.8,-94.9,
9,3,2003,41.4,-92.9,
9,3,2003,41.4,-92.9,
9,2,2003,45.9,-84.6,
9,2,2003,45.8,-84.1,
8,30,2003,43.9,-95.2,
8,29,2003,44.6,-78.6,
8,29,2003,46.3,-96.1,
8,29,2003,44.8,-94.2,
8,28,2003,45,-93.5,
8,27,2003,45.9,-84.9,
10,30,2004,34.3,-85.1,
10,29,2004,32.3,-95.3,
10,27,2004,35.5,-120.9,
10,25,2004,34.9,-120.4,
10,24,2004,33.5,-86.8,
10,23,2004,29.5,-98.5,
10,21,2004,31.1,-97.8,
10,17,2004,25.4,-100.6,
10,16,2004,30,-101.4,
10,16,2004,25.7,-100.4,
10,16,2004,25.4,-101,
10,15,2004,28.5,-100,
