month,longitude,"r,p<0.1",index,yrmin,yrmax
Feb,-107.5,NA,mexicoarea,2004,2018
Feb,-105,NA,mexicoarea,2004,2018
Feb,-102.5,NA,mexicoarea,2004,2018
Feb,-100,NA,mexicoarea,2004,2018
Feb,-97.5,NA,mexicoarea,2004,2018
Feb,-95,NA,mexicoarea,2004,2018
Feb,-92.5,NA,mexicoarea,2004,2018
Feb,-90,NA,mexicoarea,2004,2018
Feb,-87.5,NA,mexicoarea,2004,2018
Feb,-85,NA,mexicoarea,2004,2018
Feb,-82.5,NA,mexicoarea,2004,2018
Feb,-80,NA,mexicoarea,2004,2018
Feb,-77.5,NA,mexicoarea,2004,2018
Feb,-75,NA,mexicoarea,2004,2018
Feb,-72.5,NA,mexicoarea,2004,2018
Feb,-70,NA,mexicoarea,2004,2018
Feb,-67.5,NA,mexicoarea,2004,2018
Feb,-65,NA,mexicoarea,2004,2018
Feb,-62.5,NA,mexicoarea,2004,2018
Feb,-60,NA,mexicoarea,2004,2018
Mar,-110,NA,mexicoarea,2004,2018
Mar,-107.5,NA,mexicoarea,2004,2018
Mar,-105,NA,mexicoarea,2004,2018
Mar,-102.5,NA,mexicoarea,2004,2018
Mar,-100,NA,mexicoarea,2004,2018
Mar,-97.5,NA,mexicoarea,2004,2018
Mar,-95,NA,mexicoarea,2004,2018
Mar,-92.5,NA,mexicoarea,2004,2018
Mar,-90,NA,mexicoarea,2004,2018
Mar,-87.5,NA,mexicoarea,2004,2018
Mar,-85,NA,mexicoarea,2004,2018
Mar,-82.5,NA,mexicoarea,2004,2018
Mar,-80,NA,mexicoarea,2004,2018
Mar,-77.5,NA,mexicoarea,2004,2018
Mar,-75,NA,mexicoarea,2004,2018
Mar,-72.5,NA,mexicoarea,2004,2018
Mar,-70,NA,mexicoarea,2004,2018
Mar,-67.5,NA,mexicoarea,2004,2018
Mar,-65,NA,mexicoarea,2004,2018
Mar,-62.5,NA,mexicoarea,2004,2018
Mar,-60,NA,mexicoarea,2004,2018
Apr,-110,NA,mexicoarea,2004,2018
Apr,-107.5,NA,mexicoarea,2004,2018
Apr,-105,NA,mexicoarea,2004,2018
Apr,-102.5,NA,mexicoarea,2004,2018
Apr,-100,NA,mexicoarea,2004,2018
Apr,-97.5,NA,mexicoarea,2004,2018
Apr,-95,NA,mexicoarea,2004,2018
Apr,-92.5,NA,mexicoarea,2004,2018
Apr,-90,NA,mexicoarea,2004,2018
Apr,-87.5,NA,mexicoarea,2004,2018
Apr,-85,NA,mexicoarea,2004,2018
Apr,-82.5,NA,mexicoarea,2004,2018
Apr,-80,NA,mexicoarea,2004,2018
Apr,-77.5,NA,mexicoarea,2004,2018
Apr,-75,NA,mexicoarea,2004,2018
Apr,-72.5,NA,mexicoarea,2004,2018
Apr,-70,NA,mexicoarea,2004,2018
Apr,-67.5,NA,mexicoarea,2004,2018
Apr,-65,NA,mexicoarea,2004,2018
Apr,-62.5,NA,mexicoarea,2004,2018
Apr,-60,-0.442857143,mexicoarea,2004,2018
May,-110,NA,mexicoarea,2004,2018
May,-107.5,NA,mexicoarea,2004,2018
May,-105,NA,mexicoarea,2004,2018
May,-102.5,NA,mexicoarea,2004,2018
May,-100,NA,mexicoarea,2004,2018
May,-97.5,NA,mexicoarea,2004,2018
May,-95,NA,mexicoarea,2004,2018
May,-92.5,NA,mexicoarea,2004,2018
May,-90,NA,mexicoarea,2004,2018
May,-87.5,NA,mexicoarea,2004,2018
May,-85,NA,mexicoarea,2004,2018
May,-82.5,NA,mexicoarea,2004,2018
May,-80,NA,mexicoarea,2004,2018
May,-77.5,NA,mexicoarea,2004,2018
May,-75,NA,mexicoarea,2004,2018
May,-72.5,-0.525,mexicoarea,2004,2018
May,-70,-0.442857143,mexicoarea,2004,2018
May,-67.5,-0.467857143,mexicoarea,2004,2018
May,-65,NA,mexicoarea,2004,2018
May,-62.5,-0.507142857,mexicoarea,2004,2018
May,-60,-0.510714286,mexicoarea,2004,2018
